.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Energy,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio,TwoHundreddayMovingAverage
"Cooper Companies, Inc. (The) Co",COO,390590,57.61,0.012358864815379811,471953,0.03,618150000,6.07,0.11891891891891881,9640000000,0.06972841013121767,1.63,32.45,-0.003000712033363828,0.0728,3.41,21.29,19.02,4.77,0,0,0,0,1,0,0,0,0,0,0,2.56,183.52
Costco Wholesale Corporation,COST,2272550,28.34,0.005008839127872683,1542663,1.07,5050000000,5.42,0.13227513227513232,74680000000,0.07519151443724237,2.95,31.38,0.002062463170300566,0.057999999999999996,5.99,30.01,26.50,0.61,0,1,0,0,0,0,0,0,0,0,0,2.76,160.81
Campbell Soup Company Common St,CPB,1671910,4.82,0.015550450609648266,1157675,2.49,1370000000,1.61,0.045751633986928164,17410000000,0.02933380455910939,3.90,35.63,-0.0005301289980562673,-0.0161,11.74,18.69,17.87,2.17,0,1,0,0,0,0,0,0,0,0,0,3.72,58.13
Salesforce.com Inc Common Stock,CRM,4579280,10.60,0.010332541567696016,2498608,0,504830000,0.26,0.3023255813953487,59220000000,0.14014251781472686,2.31,321.96,-0.002375296912114022,0.091,7.94,64.89,49.83,7.10,0,0,0,0,0,0,1,0,0,0,0,2.90,76.73
"Cisco Systems, Inc.",CSCO,20066400,12.74,0.008586323213737933,13346296,3.58,14670000000,1.94,0.04621848739495804,163610000000,0.08524992333639991,1.36,16.84,-0.0015332720024531232,0.0351,2.56,13.73,13.12,3.36,0,0,0,0,0,0,1,0,0,0,0,1.82,31.56
CSRA Inc. Common Stock,CSRA,1176790,1.87,0.014375876577840117,1094954,1.45,745570000,1.18,0.024875621890547484,4650000000,0.2359747545582047,1.38,24.04,-0.007713884992987308,-0.043899999999999995,15.29,14.17,13.90,0.92,0,0,0,0,0,0,1,0,0,0,0,1.97,29.80
CSX Corporation,CSX,11742900,12.58,0.017150116451408053,5290518,1.55,4690000000,1.81,0.1835748792270533,43200000000,0.10544145670124938,1.87,25.78,-0.006140165149269516,0.1591,3.75,22.53,19.03,3.95,0,0,0,0,0,1,0,0,0,0,0,2.22,40.23
Cintas Corporation,CTAS,554553,20.71,0.010977394698324884,345780,0.86,997250000,4.82,0.06843267108167761,12890000000,0.0704179541388843,2.24,25.38,-0.002358107009269861,0.056100000000000004,5.94,27.01,25.28,2.52,0,0,0,0,0,1,0,0,0,0,0,9.00,115.87
"CenturyLink, Inc. Common Stock",CTL,8202730,24.52,0.012252964426877419,7294946,8.60,6490000000,1.16,-0.04629629629629628,13700000000,0.07272727272727275,387.67,21.60,-0.002371541501976382,0.0069,1.03,11.60,11.99,0.79,0,0,0,0,0,0,0,0,0,1,0,10.89,24.89
Cognizant Technology Solutions,CTSH,5125100,17.65,0.012947189097103884,5333546,0,2670000000,2.55,0.17486338797814205,35220000000,0.11362862010221475,1.27,22.69,-0.00596252129471897,0.0385,3.33,15.85,13.46,2.65,0,0,0,0,0,0,1,0,0,0,0,5.54,55.73
"Citrix Systems, Inc.",CTXS,2294510,16.69,0.012943432406519635,890271,0,1030000000,3.41,0.0903225806451613,13000000000,0.020493767976989652,1.50,24.38,-0.0010786193672099875,0.1204,5.00,17.88,16.39,3.82,0,0,0,0,0,0,1,0,0,0,0,3.97,74.19
CVS Health Corporation Common S,CVS,6868260,34.71,0.012701638511367967,7024596,2.57,13050000000,4.91,0.0921501706484642,83020000000,0.09627841991616926,1.14,15.94,-0.013971802362504837,-0.024,2.27,13.35,12.23,0.47,0,1,0,0,0,0,0,0,0,0,0,5.58,80.17
"Dominion Resources, Inc. Common",D,2605250,23.26,0.007826533230690267,2540680,3.90,5800000000,3.44,0.1032608695652173,48990000000,-0.0037208108801640716,4.79,22.67,-0.0005132152938156498,0.040999999999999995,3.35,21.25,19.21,4.17,0,0,0,0,0,0,0,0,0,0,1,7.79,74.92
"Delta Air Lines, Inc. Common St",DAL,8576820,17.78,0.01826381059751978,7966835,1.84,7810000000,5.42,0.140625,32330000000,-0.9909808342728298,-19.04,8.19,-0.0033821871476887866,-0.0546,2.49,8.64,7.60,0.82,0,0,0,0,0,1,0,0,0,0,0,0.02,46.98
E.I. du Pont de Nemours and Com,DD,2885760,11.31,0.011269048533743059,2256698,1.96,5070000000,2.86,0.08967391304347805,67330000000,0.1029581252401075,3.10,27.28,-0.0048661800486619056,0.0424,6.90,21.16,19.42,2.75,0,0,0,0,0,0,0,1,0,0,0,1.75,74.71
Deere & Company Common Stock,DE,2254140,21.44,0.009650735294117621,1690470,2.22,3890000000,4.62,0.16492693110647183,34520000000,0.004595588235294157,1.12,23.50,-0.007169117647058854,0.0674,5.07,22.65,19.44,1.30,0,0,0,0,0,1,0,0,0,0,0,6.26,101.62
Discover Financial Services Com,DFS,2215720,27.68,0.01522533495736906,2541414,1.85,0.00,5.77,0.11184210526315774,25080000000,0.21482947624847748,1.20,11.27,-0.00548112058465311,-0.0253,2.37,10.70,9.62,3.50,0,0,0,1,0,0,0,0,0,0,0,2.22,66.73
Dollar General Corporation Comm,DG,2961670,19.64,0.007378472222222296,1637187,1.51,2450000000,4.43,0.10089686098654704,19000000000,0.14525462962962954,2.11,15.59,-0.0013020833333333703,-0.051100000000000007,3.52,15.49,14.07,0.86,1,0,0,0,0,0,0,0,0,0,0,2.40,72.79
Quest Diagnostics Incorporated,DGX,821927,33.78,0.007057379564283499,904317,1.85,1410000000,4.51,0.06043956043956045,13350000000,-0.025161092359619497,2.16,21.53,-0.003272987624015511,0.06480000000000001,2.89,17.79,16.77,1.79,0,0,0,0,1,0,0,0,0,0,0,7.70,91.20
"D.R. Horton, Inc. Common Stock",DHI,4204290,18.70,0.0181498829039814,4048905,1.19,1520000000,2.49,0.0948905109489051,12800000000,0.02371194379391106,1.31,13.77,-0.004976580796252739,0.1394,1.83,12.51,11.43,1.01,1,0,0,0,0,0,0,0,0,0,0,2.76,30.09
Danaher Corporation Common Stoc,DHR,2183810,33.23,0.005190311418685154,1875724,0.65,4120000000,3.65,0.09113924050632893,60000000000,0.057900807381776165,2.29,23.70,-0.0035755478662052864,0.0625,2.61,21.91,20.08,3.56,0,0,0,0,1,0,0,0,0,0,0,3.10,81.45
Walt Disney Company (The) Commo,DIS,6056380,27.01,0.01538055897345755,6190682,1.38,16780000000,5.54,0.13277310924369745,180560000000,0.04095623132360693,1.99,20.61,-0.002636667252592706,0.0942,4.21,19.19,16.92,3.26,1,0,0,0,0,0,0,0,0,0,0,3.12,104.36
"Discovery Communications, Inc.",DISCA,2746150,8.83,0.012982456140350911,2202080,0,2440000000,1.96,0.125,16750000000,-0.011228070175438587,1.18,14.62,-0.002105263157894721,0.0331,3.23,13.31,11.77,2.57,1,0,0,0,0,0,0,0,0,0,0,9.31,27.69
"Discovery Communications, Inc.",DISCK,1321260,8.83,0.011095204008589916,1031121,0,2440000000,1.96,0.125,16399999999,0.0021474588403722628,0.95,14.32,-0.0021474588403722628,0.0382,3.16,13.03,11.53,2.52,1,0,0,0,0,0,0,0,0,0,0,2.20,26.99
DISH Network Corporation,DISH,3762080,9.97,0.019391052900153097,5658495,0.00,3170000000,3.05,-0.05714285714285705,27010000000,0.2779384249021941,-30.43,19.02,-0.019220955944888596,-0.0271,5.90,20.95,21.98,1.81,1,0,0,0,0,0,0,0,0,0,0,3.36,59.66
Delphi Automotive plc Ordinary,DLPH,1978100,8.90,0.014322045241600957,1214475,1.57,2980000000,4.59,0.09954058192955584,20040000000,0.1531254182840318,0.93,16.20,-0.006826395395529206,0.041299999999999996,8.39,11.39,10.36,1.21,1,0,0,0,0,0,0,0,0,0,0,3.40,71.40
"Digital Realty Trust, Inc. Comm",DLR,1139110,25.68,0.012765192376842878,1422966,3.39,1160000000,2.20,0.24528301886792447,17840000000,-0.020136641495864804,1.93,50.91,-0.0011686443725278384,0.122,4.33,70.44,56.57,8.20,0,0,0,0,0,0,0,0,1,0,0,11.88,99.82
"Dollar Tree, Inc.",DLTR,2854150,22.82,0.016660158792138502,2173059,0,2350000000,3.78,0.13228699551569512,18300000000,0.1639984381101134,1.24,20.48,-0.0013015749056357606,-0.0147,3.37,17.36,15.33,0.88,1,0,0,0,0,0,0,0,0,0,0,1.56,78.58
Dover Corporation Common Stock,DOV,1135340,24.45,0.01602804908590034,1144204,2.24,1120000000,3.25,0.1955307262569832,12460000000,0.05121462559479095,1.79,24.65,-0.006260956674179807,0.059500000000000004,3.27,22.25,18.71,1.83,0,0,0,0,0,1,0,0,0,0,0,1.77,75.60
Dow Chemical Company (The) Comm,DOW,6024050,21.46,0.012311679896322779,4429199,3.01,8690000000,3.52,0.06341463414634174,74590000000,0.13785841568119217,2.13,17.47,-0.002105945245423513,0.0512,2.88,15.00,14.10,1.56,0,0,0,0,0,0,0,1,0,0,0,3.35,58.48
"Dr Pepper Snapple Group, Inc Dr",DPS,1112380,11.65,0.01619969434538974,968773,2.37,1650000000,4.54,0.08932461873638342,18100000000,0.010290371879775773,2.43,21.78,0.00030565461029041785,0.08710000000000001,8.42,21.54,19.78,2.79,0,1,0,0,0,0,0,0,0,0,0,4.75,90.96
"Darden Restaurants, Inc. Common",DRI,1575100,15.87,0.010285575992255498,825391,2.68,940800000,3.91,0.0879396984924623,10290000000,0.010164569215876051,1.76,21.13,-0.0007260406582768608,0.1325,5.21,20.78,19.10,1.46,1,0,0,0,0,0,0,0,0,0,0,9.06,73.04
DTE Energy Company Common Stock,DTE,938000,50.22,0.0070854078896975215,658740,3.23,2240000000,4.83,0.06378986866791747,18740000000,-0.011968594408272692,3.85,21.62,-0.0003829950210646471,0.0721,2.08,19.59,18.42,1.76,0,0,0,0,0,0,0,0,0,0,1,4.12,97.40
Duke Energy Corporation (Holdin,DUK,3007730,58.62,0.00735560110936934,2257382,4.14,10030000000,3.12,0.045454545454545414,57970000000,-0.018328710961051597,7.01,26.56,-0.0003617508742312925,0.0572,1.41,17.94,17.16,2.59,0,0,0,0,0,0,0,0,0,0,1,3.14,78.37
DaVita Inc. Common Stock,DVA,1177200,23.89,0.008925958443078716,640823,0,2490000000,4.29,0.10084033613445387,13180000000,-0.02560725782850448,1.41,15.79,-0.007170032191981424,0.049699999999999994,2.86,18.97,17.23,0.90,0,0,0,0,1,0,0,0,0,0,0,2.99,64.52
Electronic Arts Inc.,EA,2757740,11.56,0.008070844075776245,1393082,0,1240000000,4.12,0.08877284595300261,27500000000,0.0655756081156822,1.41,21.66,-0.0010088555094719398,0.0711,7.72,23.29,21.39,5.94,0,0,0,0,0,0,1,0,0,0,0,4.70,83.28
eBay Inc.,EBAY,8983620,9.69,0.016260162601625876,7486273,0,3010000000,6.35,0.09950248756218905,36980000000,0.013646922183507604,2.33,5.35,-0.009581881533101022,0.0886,3.55,16.93,15.39,4.17,0,0,0,0,0,0,1,0,0,0,0,2.41,31.25
Ecolab Inc. Common Stock,ECL,960860,23.65,0.006538032211768517,672808,1.19,2870000000,4.14,0.11875000000000013,36560000000,0.03276989315898571,2.16,30.27,-0.006777228512199085,0.0435,5.30,26.11,23.34,2.78,0,0,0,0,0,0,0,1,0,0,0,4.49,120.09
"Consolidated Edison, Inc. Commo",ED,1618760,46.88,0.007987828071510201,1549325,3.55,3690000000,4.12,0.04656862745098023,24130000000,-0.061240015214910626,5.50,19.20,0.0002535818435398518,0.0676,1.68,19.38,18.52,1.99,0,0,0,0,0,0,0,0,0,0,1,6.37,74.08
"Equifax, Inc. Common Stock",EFX,773153,22.21,0.007078741881339844,539374,1.14,1120000000,4.04,0.10578512396694228,16450000000,0.04356710209443193,2.03,33.98,-0.0013135809676713128,0.0931,6.17,22.69,20.52,5.22,0,0,0,0,0,1,0,0,0,0,0,2.91,125.59
Edison International Common Sto,EIX,1747060,36.82,0.007313747365811372,1459021,2.70,3960000000,3.98,0.04358353510895885,26350000000,0.01673484566753425,4.71,20.34,0.0004958472790379531,0.0962,2.19,19.58,18.76,2.21,0,0,0,0,0,0,0,0,0,0,1,2.72,73.77
"Estee Lauder Companies, Inc. (T",EL,1891350,10.36,0.01804123711340197,2110097,1.60,2200000000,2.89,0.12048192771084354,31620000000,0.08247422680412386,2.79,29.82,-0.002225866916588548,0.049699999999999994,8.24,25.99,23.20,2.75,0,1,0,0,0,0,0,0,0,0,0,3.69,82.21
Eastman Chemical Company Common,EMN,1184260,30.94,0.016094009452037362,985709,2.62,2109999999,5.75,0.0960219478737998,11530000000,0.10563290330821307,1.53,13.69,-0.004598288414867757,0.039599999999999996,2.53,10.80,9.85,1.27,0,0,0,0,0,0,0,1,0,0,0,2.99,75.74
Emerson Electric Company Common,EMR,3943460,12.00,0.015582191780821859,2904712,3.32,3110000000,2.46,0.09302325581395343,37680000000,0.045547945205479445,2.69,23.70,-0.0070205479452054576,0.0262,4.87,22.64,20.71,2.62,0,0,0,0,0,1,0,0,0,0,0,0.00,56.92
"Equinix, Inc.",EQIX,607150,61.14,0.007394357460112698,285705,1.82,1500000000,1.79,0.501057082452431,28870000000,0.04449021116101348,4.50,224.48,-0.0019354358452643439,0.0966,6.59,85.19,56.75,7.99,0,0,0,0,0,0,0,0,1,0,0,2.30,367.45
Equity Residential Common Share,EQR,1929770,27.86,0.012166588675713635,1615289,3.19,1570000000,11.68,0.1015625,23640000000,0.005615348619560034,-22.16,5.51,-0.002963656215878907,0.0369,2.30,50.30,45.67,9.70,0,0,0,0,0,0,0,0,1,0,0,4.72,62.10
Eversource Energy (D/B/A) Commo,ES,1452480,33.80,0.010117764139990038,1385727,3.19,2550000000,2.96,0.050793650793650835,19060000000,-0.01973793332227558,3.15,20.32,-0.0014927848731132176,0.08470000000000001,1.78,19.09,18.17,2.50,0,0,0,0,0,0,0,0,0,0,1,3.33,55.44
Express Scripts Holding Company,ESRX,4460130,26.81,0.012899355032248379,3622254,0.00,7100000000,5.39,0.09812409812409828,40030000000,0.20383980800959955,0.76,12.26,-0.005549722513874422,-0.054900000000000004,2.49,9.54,8.68,0.40,0,0,0,0,1,0,0,0,0,0,0,6.67,69.93
"Essex Property Trust, Inc. Comm",ESS,351042,94.50,0.011055106103604615,343806,3.00,898180000,6.27,0.05023923444976086,15530000000,0.008090135117963415,8.66,37.79,-0.0030073277140073573,0.0596,2.50,56.68,53.97,11.64,0,0,0,0,0,0,0,0,1,0,0,6.64,223.62
E*TRADE Financial Corporation,ETFC,3458530,21.41,0.016553355010345914,2306422,0.00,0.00,1.98,0.22404371584699456,9260000000,0.1959798994974875,1.68,17.04,-0.008276677505172914,-0.0049,1.58,18.43,15.06,4.45,0,0,0,1,0,0,0,0,0,0,0,1.19,33.90
"Eaton Corporation, PLC Ordinary",ETN,2257690,33.15,0.01130856219709213,1744042,3.24,3190000000,4.21,0.10561797752808988,33490000000,0.014943457189014575,1.71,17.69,-0.0061927840603124285,0.0827,2.24,16.73,15.14,1.69,0,0,0,0,0,1,0,0,0,0,0,3.00,68.78
Edwards Lifesciences Corporatio,EW,2174170,12.38,0.016408862876254107,1299282,0,894700000,2.61,0.12609970674486792,20140000000,0.21352424749163879,1.79,36.31,-0.005748327759197425,-0.0092,7.73,27.79,24.68,6.86,0,0,0,0,1,0,0,0,0,0,0,0.73,95.64
Exelon Corporation Common Stock,EXC,4867120,27.96,0.009470752089136586,4456701,3.64,9130000000,1.22,0.07490636704119846,33150000000,0.08356545961002793,8.80,29.33,0.00027855153203337757,0.0347,1.28,13.40,12.47,1.06,0,0,0,0,0,0,0,0,0,0,1,4.14,34.58
Expeditors International of Was,EXPD,1088760,10.26,0.009460906818993236,688419,1.45,716960000,2.36,0.0843373493975903,10060000000,-0.027133166726169278,3.62,23.67,-0.006247768654052188,0.0398,5.46,22.44,20.69,1.65,0,0,0,0,0,1,0,0,0,0,0,10.01,53.73
"Expedia, Inc.",EXPE,1827090,27.54,0.015037593984962466,1228696,0.87,1070000000,1.82,0.2767527675276753,19550000000,0.09498235384379305,1.05,71.69,-0.0026852846401718145,0.0652,4.73,24.07,18.85,2.23,1,0,0,0,0,0,0,0,0,0,0,5.47,122.48
Extra Space Storage Inc Common,EXR,882373,17.88,0.01305483028720623,586392,4.19,649290000,2.91,0.05681818181818188,10150000000,0.012060176551038193,3.70,27.79,-0.005346263831903619,0.0799,4.50,30.61,28.96,10.05,0,0,0,0,0,0,0,0,1,0,0,8.49,74.82
Ford Motor Company Common Stock,F,37579400,7.34,0.008984725965858009,35655881,5.40,13300000000,1.15,0.05031446540880502,44270000000,0.18418688230008984,2.39,9.69,0.0017969451931716396,-0.0863,1.52,7.01,6.67,0.29,1,0,0,0,0,0,0,0,0,0,0,2.77,12.19
Fastenal Company,FAST,2456900,6.85,0.02969432314410495,6794724,2.81,917460000,1.73,0.08602150537634401,12800000000,0.07467248908296953,1.95,25.29,-0.014628820960698619,-0.0611,6.69,23.80,21.91,3.29,0,0,0,0,0,1,0,0,0,0,0,9.59,47.14
"Facebook, Inc.",FB,16645900,20.51,0.00912176495545179,14807472,0,14840000000,3.49,0.23388581952117882,407370000000,0.1364729175505588,1.09,40.35,-0.0010606703436569775,0.0909,6.89,25.96,21.04,14.79,0,0,0,0,0,0,1,0,0,0,0,1.27,129.21
"Fortune Brands Home & Security,",FBHS,1233020,15.39,0.013081395348837246,1060167,1.17,774700000,2.62,0.13531353135313529,9500000000,0.05830103359173133,2.13,23.73,-0.006621447028423821,0.0947,4.02,20.48,18.04,1.90,0,0,0,0,0,1,0,0,0,0,0,2.84,56.68
FedEx Corporation Common Stock,FDX,1804850,56.79,0.012018971650317936,1525900,0.82,7810000000,7.03,0.13998323554065384,49090000000,0.17958391721461697,1.31,26.10,-0.003664977902338995,-0.0212,3.27,15.39,13.50,0.86,0,0,0,0,0,1,0,0,0,0,0,2.64,187.59
"F5 Networks, Inc.",FFIV,732619,18.44,0.009266068539491036,707441,0,610230000,5.54,0.10311750599520386,8770000000,0.050669216061185685,1.35,24.44,-0.0013972643035740084,-0.024300000000000002,7.37,16.24,14.72,4.36,0,0,0,0,0,0,1,0,0,0,0,6.73,138.81
Fidelity National Information S,FIS,1724390,29.70,0.005705072553640007,801101,1.45,2270000000,1.72,0.13176470588235278,26550000000,0.11447352102195207,1.43,46.87,-0.0021083963785192283,0.0292,2.71,19.00,16.79,2.87,0,0,0,0,0,0,1,0,0,0,0,2.66,78.46
"Fiserv, Inc.",FISV,954178,11.79,0.004980678402747946,478605,0,1720000000,4.15,0.1213307240704502,24960000000,-0.02833834263632462,1.81,28.04,-0.002490339201373981,0.0766,9.88,22.77,20.31,4.54,0,0,0,0,0,0,1,0,0,0,0,3.11,108.07
Fifth Third Bancorp,FITB,6178390,19.82,0.02336065573770493,6213594,2.34,0.00,1.93,0.12359550561797761,18030000000,0.12418032786885247,2.82,12.44,-0.0077868852459015425,-0.048499999999999995,1.23,13.49,12.01,3.15,0,0,0,1,0,0,0,0,0,0,0,3.53,25.23
"Foot Locker, Inc.",FL,1860710,20.61,0.014201020267475543,1489794,1.66,1160000000,4.91,0.08502772643253231,9530000000,0.13980421894388528,1.43,14.78,-0.0008272438990762909,0.0128,3.52,13.42,12.37,1.23,1,0,0,0,0,0,0,0,0,0,0,4.08,71.68
"FLIR Systems, Inc.",FLIR,739452,12.31,0.011945392491467626,441956,1.72,354660000,1.20,0.13114754098360648,4830000000,0.10096700796359515,1.20,29.52,-0.0017064846416381396,0.0151,2.86,19.36,17.11,2.88,0,0,0,0,0,0,1,0,0,0,0,0.96,34.89
Fluor Corporation Common Stock,FLR,1224010,22.44,0.01674217057317302,765083,1.67,888160000,2.00,0.11986301369863006,7080000000,0.1400433326767776,1.09,25.39,-0.008666535355524974,-0.043899999999999995,2.26,17.45,15.53,0.37,0,0,0,0,0,1,0,0,0,0,0,2.87,53.10
Flowserve Corporation Common St,FLS,1535470,12.70,0.010846891948268735,1010946,1.57,477920000,1.11,0.25988700564971756,6230000000,0.04943679599499373,1.75,42.97,-0.009803921568627416,0.0053,3.78,26.95,21.39,1.57,0,0,0,0,0,1,0,0,0,0,0,4.81,47.45
FMC Corporation Common Stock,FMC,1743240,14.64,0.020277626565051644,1557785,0.91,714400000,1.56,0.1319648093841641,9870000000,0.022455089820359264,1.96,47.43,-0.005579749591725802,0.2845,5.02,21.66,19.13,2.99,0,0,0,0,0,0,0,1,0,0,0,2.41,57.49
"Twenty-First Century Fox, Inc.",FOX,2432760,7.75,0.012599469496021304,1818175,1.21,6950000000,1.64,0.07253886010362698,55620000000,0.16047745358090193,1.37,18.31,-0.003978779840848823,0.0528,3.89,15.57,14.38,1.99,1,0,0,0,0,0,0,0,0,0,0,2.33,28.54
"Twenty-First Century Fox, Inc.",FOXA,7384880,7.75,0.011389521640091046,5407575,1.18,6950000000,1.64,0.09424083769633507,56750000000,0.11519687601692175,1.20,18.68,-0.0016270745200130943,0.0622,3.97,16.05,14.67,2.03,1,0,0,0,0,0,0,0,0,0,0,3.10,28.86
Federal Realty Investment Trust,FRT,454298,27.32,0.007475265665078651,347775,2.91,512830000,3.50,0.06853582554517135,9880000000,0.09798460974716017,8.40,39.16,-0.0007328691828508704,-0.018600000000000002,5.00,42.69,39.96,12.27,0,0,0,0,0,0,0,0,1,0,0,4.08,139.65
TechnipFMC plc Ordinary Share,FTI,4137500,43.03,0.011974209395148927,1985141,3.43,1150000000,2.49,0.5754716981132073,3860000000,0.10254835738409573,-2.64,13.02,-0.003684372121584234,-0.0273,0.76,23.69,19.44,0.44,0,0,1,0,0,0,0,0,0,0,0,2.29,33.37
Fortive Corporation Common Stoc,FTV,1449840,7.77,0.008101851851851768,1562969,0.46,1440000000,2.51,0.09293680297397766,20850000000,0.014054232804232791,3.93,24.01,-0.005952380952380931,0.0949,7.78,22.41,20.50,3.36,0,0,0,0,0,1,0,0,0,0,0,1.26,55.04
General Dynamics Corporation Co,GD,1331010,36.43,0.013394038858594956,1199413,1.80,4760000000,9.52,0.08307692307692305,56460000000,0.07501720578114246,2.42,19.67,-0.0031235110381702125,0.0695,5.19,19.20,17.74,1.82,0,0,0,0,0,1,0,0,0,0,0,2.58,175.20
General Electric Company Common,GE,29857200,8.67,0.010796221322537122,25706585,3.25,17140000000,0.89,0.16564417177914104,260350000000,0.11808367071524972,1.47,33.42,-0.0013495276653171517,-0.0128,3.42,18.31,15.71,2.15,0,0,0,0,0,1,0,0,0,0,0,2.96,30.23
GGP Inc. Common Stock,GGP,5112180,9.50,0.012798634812286718,4271054,3.80,1860000000,1.34,0.11290322580645151,20840000000,0.23848122866894195,7.32,17.60,-0.0017064846416383617,-0.052300000000000006,2.47,38.03,34.17,7.97,0,0,0,0,0,0,0,0,1,0,0,6.01,24.88
"Gilead Sciences, Inc.",GILD,9937590,14.42,0.01754122938530737,7358074,3.13,19220000000,9.94,-0.08394160583941612,86340000000,0.186806596701649,-1.72,6.65,-0.001649175412293813,-0.0808,4.63,8.04,8.77,2.87,0,0,0,0,1,0,0,0,0,0,0,1.35,71.87
"General Mills, Inc. Common Stoc",GIS,3215660,7.05,0.017361111111111112,3223784,3.36,3410000000,2.70,0.05882352941176472,33509999999,0.0546875,2.91,21.55,0.0017361111111111605,-0.051,8.17,19.01,17.95,2.11,0,1,0,0,0,0,0,0,0,0,0,3.14,61.28
Corning Incorporated Common Sto,GLW,6612520,16.84,0.03240391861341369,12789125,2.36,2560000000,3.23,0.09523809523809534,24960000000,0.017332328560663246,1.76,8.33,-0.0022607385079125297,0.0639,1.58,16.01,14.61,2.62,0,0,0,0,0,0,1,0,0,0,0,3.31,25.28
General Motors Company Common S,GM,15238200,29.22,0.010029498525073637,7020357,4.55,19680000000,6.00,0.016638935108153063,50470000000,0.18141592920353977,-1.18,5.61,-0.005309734513274322,-0.0366,1.16,5.61,5.51,0.31,1,0,0,0,0,0,0,0,0,0,0,3.08,34.97
Alphabet Inc.,GOOG,1471600,201.12,0.0074297932319599535,835454,0,29860000000,27.88,0.1787003610108302,578590000000,0.1369017045522416,1.30,30.02,-0.0035237765328427484,0.044000000000000004,4.16,25.18,21.36,6.41,0,0,0,0,0,0,1,0,0,0,0,2.03,801.57
Alphabet Inc.,GOOGL,1548940,201.12,0.007180194824178764,936201,0,29860000000,27.88,0.17892524767337137,590470000000,0.1454632628957,1.33,30.63,-0.003028779249938607,0.0385,4.25,25.64,21.73,6.55,0,0,0,0,0,0,1,0,0,0,0,2.50,822.33
Genuine Parts Company Common St,GPC,699490,21.52,0.015649278579356232,1084008,3.04,1220000000,4.59,0.08823529411764697,13370000000,0.08279689234184251,2.46,19.64,-0.0032186459489454977,-0.054000000000000006,4.19,18.94,17.40,0.87,1,0,0,0,0,0,0,0,0,0,0,2.58,95.29
"Gap, Inc. (The) Common Stock",GPS,5428390,7.28,0.014650481372959457,3303216,3.88,2029999999,1.69,0.025125628140703515,9560000000,0.051067392214315666,1.77,14.15,-0.0020929259104227604,-0.0326,3.28,12.02,11.73,0.62,1,0,0,0,0,0,0,0,0,0,0,5.72,24.73
Garmin Ltd.,GRMN,1316890,18.13,0.009799918334013965,726062,3.99,710250000,2.70,0.026415094339622858,9290000000,0.0289914250714578,18.19,18.24,0.0004083299305839283,-0.0155,2.70,18.59,18.11,3.06,1,0,0,0,0,0,0,0,0,0,0,9.99,50.03
"Goldman Sachs Group, Inc. (The)",GS,3871590,182.46,0.029656147794572527,12464020,1.16,0.00,16.29,0.10821847881572233,89430000000,0.11964112083443834,0.87,13.24,-0.030672677450720442,-0.0308,1.24,11.01,9.95,3.07,0,0,0,1,0,0,0,0,0,0,0,1.42,222.45
The Goodyear Tire & Rubber Comp,GT,2942640,17.91,0.01631368059530625,2149449,1.17,2510000000,4.74,0.2727272727272727,8730000000,0.07698912421293658,1.33,7.32,-0.00801373783629078,0.0638,1.95,8.76,6.88,0.58,1,0,0,0,0,0,0,0,0,0,0,6.07,32.62
"W.W. Grainger, Inc. Common Stoc",GWW,746487,30.58,0.06404449029017358,5464976,2.20,1460000000,9.87,0.11054852320675113,11620000000,0.07749921514105029,2.51,20.02,-0.09104363815759975,-0.1549,7.29,16.67,15.05,1.29,0,0,0,0,0,1,0,0,0,0,0,12.81,233.79
"Hasbro, Inc.",HAS,1501850,14.96,0.008243765000521675,673677,2.39,975380000,4.34,0.06736842105263174,11890000000,0.04236669101533974,3.79,22.05,-0.0007304601899196239,0.085,6.40,20.15,18.87,2.37,1,0,0,0,0,0,0,0,0,0,0,4.87,88.20
Huntington Bancshares Incorpora,HBAN,10753900,8.51,0.020139426800929495,14466043,2.39,0.00,0.70,0.15625000000000022,13900000000,0.16576297443841992,1.20,18.29,-0.0077459333849728695,0.009399999999999999,1.52,13.33,11.53,4.21,0,0,0,1,0,0,0,0,0,0,0,2.82,12.68
Hanesbrands Inc. Common Stock,HBI,6525540,3.23,0.010782934833567766,2702830,2.89,1010000000,1.41,0.08121827411167515,8050000000,0.2287857477730897,1.06,15.12,-0.003281762775433461,-0.0529,6.60,10.79,9.98,1.34,1,0,0,0,0,0,0,0,0,0,0,6.27,22.45
Welltower Inc. Common Stock,HCN,1932750,38.06,0.01621474315301809,2449017,4.78,2109999999,2.81,0.07909604519774005,26920000000,-0.03256574465185991,14.19,26.42,0.0006812917291183496,0.10310000000000001,1.93,41.94,38.87,6.36,0,0,0,0,0,0,0,0,1,0,0,7.86,67.30
