.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetOverCurrent,PEGRatio,PERatio,PercentChange,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Centene Corporation Common Stoc,CNC,1745090,34.29,0,1890000000.0,4.69,1.24,5.28,3.43,63.54,12280000000.0,1.1054421768707483,0.95,20.84,0.0073,-0.0052164105456083965,0.1245,0.12990000000000002,-0.0545,0.429,2.07,15.23,13.53,0.32,2.87,1,63.24,1672834
Capital One Financial Corporati,COF,2877000,98.27,1.81,0.00,7.91,1.96,8.88,6.89,88.23,43960000000.0,1.0912808045087856,1.32,13.19,0.0083,0.0034375693058326107,0.030600000000000002,0.1528,-0.0077,0.5669,0.92,11.50,10.24,2.29,4.60,1,78.88,2297708
"Coach, Inc. Common Stock",COH,3290360,10.02,3.55,898900000.0,2.14,0.50,2.34,1.82,36.22,10710000000.0,1.1255263157894737,1.79,20.94,0.0013,-0.002624671916010568,0.053399999999999996,0.028900000000000002,-0.1272,0.13470000000000001,3.80,17.83,16.30,2.35,2.25,1,37.08,3206091
"Rockwell Collins, Inc. Common S",COL,1257320,16.85,1.45,1220000000.0,5.40,1.38,5.83,5.59,91.30,12140000000.0,1.0669253152279339,2.57,16.59,0.0023,0.0019436345966958868,0.0167,0.0605,-0.038599999999999995,0.1818,5.50,17.19,15.92,2.29,0.00,1,87.52,1054686
"Cooper Companies, Inc. (The) Co",COO,527521,55.34,0.03,610150000.0,9.21,2.26,10.34,5.59,182.21,9330000000.0,1.0281328583403186,1.60,34.22,-0.0018,-0.0040177406731020104,0.0499,0.0663,-0.005600000000000001,0.386,3.46,20.77,18.50,4.75,3.94,1,179.41,565369
Costco Wholesale Corporation,COST,2154980,27.252,1.050,5030000000.0,5.900,1.360,6.550,5.480,164.337,76660000000.0,1.0178427070100473,2.810,31.848,0.00515,-0.00259171802107927,0.061989999999999996,0.10697,-0.0012900000000000001,0.25947,6.371,29.581,26.645,0.638,3.750,0,157.660,516416
Campbell Soup Company Common St,CPB,1694020,5.1760,2.2100,1580000000.0,3.0800,0.6700,3.2300,2.1280,62.0438,19400000000.0,0.955742385786802,3.8800,29.6852,0.002223,0.00015865460891628658,0.018153,0.086016,-0.069523,0.20118099999999997,12.1774,20.5098,19.5573,2.4313,6.0500,1,58.1668,479555
Salesforce.com Inc Common Stock,CRM,5776860,9.77,0,534220000.0,0.98,0.30,1.29,0.29,76.59,56900000000.0,1.1585621075957158,2.86,276.85,0.009300000000000001,0.0038309441423629575,0.0663,0.09029999999999999,-0.0333,0.35369999999999996,8.28,83.34,63.31,7.13,3.46,1,74.91,5271923
"Cisco Systems, Inc.",CSCO,22586900,12.62,3.30,14990000000.0,2.37,0.58,2.49,2.09,30.74,164750000000.0,1.0294026617146392,1.25,15.70,0.0158,0.0,0.0678,0.0668,-0.0006,0.27949999999999997,2.56,13.85,13.18,3.32,1.98,0,30.77,41169445
CSRA Inc. Common Stock,CSRA,1309030,1.87,1.29,745570000.0,2.01,0.48,2.06,1.18,31.89,4950000000.0,1.193140193140193,1.54,25.61,0.012,0.0013337779259754434,-0.0484,0.0527,-0.0951,0.38270000000000004,16.08,15.10,14.73,0.97,3.04,1,28.83,2620200
CSX Corporation,CSX,11828900,12.51,1.51,4690000000.0,2.01,0.53,2.27,1.81,43.03,44260000000.0,0.975796178343949,2.45,26.18,-0.0137,-0.018749999999999933,0.1002,0.3797,-0.0364,1.0353,3.84,23.55,20.85,4.05,1.28,0,34.31,12546927
Cintas Corporation,CTAS,657871,19.29,0.90,983280000.0,4.62,1.15,4.91,4.80,115.64,12440000000.0,1.0724687339386672,2.45,24.68,0.011899999999999999,-0.0023927533754913854,0.024,0.0455,-0.0311,0.4456,6.07,25.63,24.12,2.42,8.21,0,113.25,507677
"CenturyLink, Inc. Common Stock",CTL,7662990,24.82,8.82,6490000000.0,2.15,0.55,2.10,1.16,25.15,13180000000.0,1.133578431372549,-4.39,21.03,-0.005699999999999999,-0.0024449877750610804,-0.029900000000000003,-0.0762,-0.2706,0.0674,0.99,11.35,11.62,0.76,10.64,1,26.41,5599574
Cognizant Technology Solutions,CTSH,6410400,17.67,0,2660000000.0,3.65,0.90,4.27,2.55,56.04,35280000000.0,1.14193096197652,1.25,22.80,0.0134,-0.005055788005578821,0.037200000000000004,0.056799999999999996,-0.08070000000000001,0.2793,3.25,15.93,13.61,2.58,1.34,0,55.01,5636202
"Citrix Systems, Inc.",CTXS,1705610,16.49,0,1060000000.0,4.65,1.10,5.08,3.41,86.80,12680000000.0,1.0759654471544715,1.42,23.51,0.015600000000000001,-0.002660585328772447,-0.0765,-0.0727,-0.004699999999999999,0.1945,4.79,17.24,15.78,3.65,3.98,0,86.44,2649415
CVS Health Corporation Common S,CVS,7829880,34.713,2.550,13050000000.0,5.860,1.320,6.370,4.909,79.761,83700000000.0,1.0945740365111563,1.290,16.069,0.0027300000000000002,0.002669378416168655,-0.01099,-0.06992,-0.26048,0.13831,2.266,13.462,12.384,0.470,5.960,1,84.815,2277036
"Dominion Resources, Inc. Common",D,2649300,23.29,4.12,5480000000.0,3.68,0.75,4.07,3.44,74.83,45390000000.0,1.0621640248104756,4.41,21.04,-0.0101,-0.007795404814004425,-0.0327,-0.0282,-0.0834,0.071,3.14,19.67,17.78,3.91,8.37,1,74.48,3184377
"Delta Air Lines, Inc. Common St",DAL,7561490,16.75,1.64,8860000000.0,5.31,1.61,5.80,5.79,49.45,37460000000.0,0.007850834151128557,-21.41,8.84,0.0263,0.02186121139189745,0.0347,0.1675,-0.0301,0.5696,2.98,9.78,8.82,0.92,1.85,1,43.83,12704974
E.I. du Pont de Nemours and Com,DD,2550710,11.31,1.97,5070000000.0,3.69,1.32,4.03,2.86,75.07,67420000000.0,1.0565167243367934,3.11,27.31,-0.0009,-0.00025624599615625687,0.0388,0.096,-0.0048,0.35009999999999997,6.90,21.13,19.35,2.74,2.55,1,71.15,261994
Deere & Company Common Stock,DE,3000740,20.71,2.18,3810000000.0,4.52,1.51,5.26,4.81,106.74,34580000000.0,0.9408690869086909,1.32,22.69,-0.0085,-0.008814175374829647,0.0223,0.17079999999999998,-0.0273,0.4567,5.31,24.14,20.75,1.31,8.26,1,93.20,5231910
Discover Financial Services Com,DFS,2554350,29.11,1.74,0.00,6.07,1.49,6.78,5.77,70.45,27590000000.0,1.1251054259207198,1.36,12.29,0.001,0.004093154551870315,0.0067,0.122,-0.045899999999999996,0.5666,2.43,11.68,10.46,3.17,1.71,1,63.21,1869438
Dollar General Corporation Comm,DG,3012430,19.41,1.30,2370000000.0,4.39,1.05,4.69,4.26,73.66,21380000000.0,1.0385664199454616,1.77,18.15,0.0031,-0.001685247601762918,0.050499999999999996,0.024399999999999998,-0.20129999999999998,0.1636,3.97,17.63,16.50,1.00,2.70,1,75.53,1654287
Quest Diagnostics Incorporated,DGX,986121,33.78,1.92,1480000000.0,5.47,1.44,5.78,4.51,92.60,13070000000.0,0.9833439422872904,2.08,21.15,0.008199999999999999,-0.0036993975266884638,0.0301,0.096,-0.0013,0.494,2.80,17.44,16.50,1.72,4.26,1,87.03,1077407
"D.R. Horton, Inc. Common Stock",DHI,4541830,18.70,1.30,1520000000.0,2.73,0.74,2.99,2.49,29.23,11490000000.0,1.1467950846894719,1.21,12.36,0.0216,0.0,0.052300000000000006,0.036699999999999997,-0.11,0.26789999999999997,1.61,11.27,10.29,0.89,2.08,1,29.67,4986699
Danaher Corporation Common Stoc,DHR,2949150,33.23,0.59,3880000000.0,3.94,0.98,4.28,3.65,81.45,58570000000.0,1.0798805970149254,2.25,23.17,0.0060999999999999995,-0.004161712247324534,0.0388,0.0643,-0.0015,0.29719999999999996,2.53,21.47,19.77,3.45,2.09,1,79.50,2080955
Walt Disney Company (The) Commo,DIS,7946660,27.01,1.43,16780000000.000002,5.93,1.69,6.72,5.54,108.43,174220000000.0,1.058047493403694,1.96,19.89,-0.0014000000000000002,-0.00380676153358106,0.016200000000000003,0.1117,-0.016200000000000003,0.2296,4.09,18.58,16.40,3.16,2.16,1,99.11,7087135
"Discovery Communications, Inc.",DISCA,2756430,8.74,0,2440000000.0,2.22,0.68,2.49,1.77,27.83,13020000000.0,0.9957850368809273,1.03,16.11,-0.0014000000000000002,-0.002103049421661507,0.023799999999999998,0.0608,-0.0424,0.2041,3.26,12.83,11.44,2.01,7.79,0,26.86,3837237
"Discovery Communications, Inc.",DISCK,1366580,8.74,0,2440000000.0,1.91,0.51,2.22,1.77,27.19,12750000000.0,1.0172351885098743,1.07,15.77,0.0,-0.0014342058085334841,0.0258,0.06849999999999999,-0.0353,0.2434,3.19,14.60,12.56,1.97,2.24,0,26.10,1345788
Delphi Automotive plc Ordinary,DLPH,2186470,8.90,1.56,2980000000.0,6.53,1.69,7.16,4.59,71.49,20550000000.0,1.1141376561254317,0.96,16.61,0.0038,-0.009215376513954543,0.0665,0.11359999999999999,-0.022400000000000003,0.31370000000000003,8.53,11.68,10.65,1.23,2.76,1,68.47,1320792
"Digital Realty Trust, Inc. Comm",DLR,1362250,26.09,3.28,1020000000.0,2.01,0.34,1.48,1.45,104.65,16600000000.000002,1.0240320427236316,1.52,71.97,-0.0083,-0.004178537511870806,-0.0021,0.06860000000000001,-0.0776,0.3575,4.04,51.96,70.56,8.04,13.19,1,97.73,2573495
"Dollar Tree, Inc.",DLTR,2906750,21.39,0,2270000000.0,3.79,1.10,4.51,3.40,77.19,18590000000.0,1.1561712846347605,0.92,23.15,-0.013300000000000001,-0.005012531328320691,0.020099999999999996,-0.0397,-0.212,0.08529999999999999,3.73,20.78,17.46,0.92,2.77,0,82.00,2136066
Dover Corporation Common Stock,DOV,1196780,24.45,2.22,1080000000.0,3.58,0.92,4.26,3.25,78.24,12450000000.0,1.0397434284995597,1.85,24.66,0.005,-0.003009404388714665,0.024399999999999998,0.0949,-0.0264,0.39659999999999995,3.26,22.39,18.81,1.82,1.86,1,73.21,665723
Dow Chemical Company (The) Comm,DOW,6353460,21.46,2.99,8690000000.0,4.08,1.05,4.34,3.52,59.06,74130000000.0,1.0862068965517242,2.16,17.36,-0.01,-0.0038885288399223006,0.0346,0.1039,-0.0121,0.3231,2.88,14.98,14.08,1.55,2.09,1,55.35,7800299
"Dr Pepper Snapple Group, Inc Dr",DPS,1369270,11.58,2.48,1650000000.0,4.71,1.32,5.13,4.61,91.14,17050000000.0,1.0296216216216216,2.05,20.15,-0.0027,-0.006124422477704838,0.0184,0.0275,-0.0605,0.1452,8.03,19.71,18.09,2.67,5.78,1,90.34,1944580
"Darden Restaurants, Inc. Common",DRI,1639250,14.93,2.94,930200000.0,3.94,1.15,4.32,3.41,73.23,9370000000.0,1.0094662108861425,1.50,22.10,-0.0102,-0.0023609653725077395,0.0304,0.1116,-0.05,0.2704,5.11,19.15,17.47,1.35,8.27,1,67.88,226437
DTE Energy Company Common Stock,DTE,992064,50.88,3.39,2450000000.0,5.33,1.06,5.69,4.83,98.22,17580000000.0,1.0500666871858007,3.65,20.28,-0.0025,-0.007534874249058077,-0.0027,0.0275,-0.0248,0.19829999999999998,1.93,18.38,17.22,1.66,3.89,1,95.34,1022280
Duke Energy Corporation (Holdin,DUK,3171510,58.77,4.35,9610000000.0,4.68,1.08,4.60,4.13,77.52,52900000000.0,1.0389373616356297,9.22,18.57,-0.0052,-0.005053122570614188,-0.0095,-0.020499999999999997,-0.125,0.061399999999999996,1.31,16.41,16.69,2.32,3.07,1,78.39,3802809
DaVita Inc. Common Stock,DVA,1599620,24.46,0,2490000000.0,3.76,0.77,3.49,3.43,64.31,12800000000.0,1.0116369278510473,1.28,18.90,0.0019,-0.004325660435655854,0.0083,0.0086,-0.17670000000000002,0.18989999999999999,2.65,17.25,18.58,0.88,4.65,1,64.30,1329863
Electronic Arts Inc.,EA,2894340,11.56,0,1240000000.0,3.83,0.20,4.18,4.12,81.28,27110000000.0,1.098463687150838,1.38,21.35,0.022000000000000002,-0.0016267720195212165,0.08199999999999999,0.0867,-0.001,0.5344,7.44,22.96,21.04,5.73,3.48,0,80.94,3293453
eBay Inc.,EBAY,10439500,9.69,0,3010000000.0,2.01,0.47,2.22,6.35,31.33,36970000000.0,1.0226055919095778,2.29,5.35,0.0113,-0.0002973535533751237,0.0855,0.1109,-0.0040999999999999995,0.5251,3.47,16.92,15.32,4.07,1.45,0,30.62,7994512
Ecolab Inc. Common Stock,ECL,900684,23.56,1.22,2870000000.0,4.40,0.89,4.90,3.60,119.69,35810000000.0,1.003514507560278,2.40,34.14,-0.0002,-0.003988928687723936,0.026099999999999998,0.0317,-0.0144,0.24530000000000002,5.21,27.91,25.06,2.71,3.98,1,119.04,164729
"Consolidated Edison, Inc. Commo",ED,1585240,46.78,3.69,3590000000.0,3.96,1.16,4.14,4.06,73.71,22460000000.0,0.9930337385603061,9.30,18.16,0.0001,-0.006513773917763643,-0.0001,-0.0039000000000000003,-0.0999,0.07690000000000001,1.58,18.61,17.80,1.86,6.57,1,73.99,1795738
"Equifax, Inc. Common Stock",EFX,899002,22.21,1.19,1090000000.0,6.04,1.58,6.68,4.04,120.54,15590000000.0,1.0869565217391306,1.96,32.19,-0.002,-0.008133824432167036,0.079,0.0393,-0.0504,0.3073,5.87,21.53,19.47,4.97,4.43,1,125.14,612570
Edison International Common Sto,EIX,1660670,36.26,2.89,3690000000.0,3.92,0.87,4.11,2.70,72.59,24430000000.0,1.0407590538554055,12.55,27.80,-0.0054,-0.007428040854224771,0.0329,0.0394,-0.0475,0.2022,2.08,19.13,18.24,2.17,4.11,1,72.14,1890731
"Estee Lauder Companies, Inc. (T",EL,2087910,10.36,1.65,2200000000.0,3.33,0.54,3.71,2.89,80.29,30610000000.0,1.0710428417136686,2.72,28.87,0.0034999999999999996,0.0009609609609608771,0.0404,-0.0059,-0.14300000000000002,0.10949999999999999,8.04,25.09,22.52,2.68,3.06,1,84.04,2035833
Eastman Chemical Company Common,EMN,1321160,30.26,2.57,2029999999.9999998,7.28,1.91,7.92,5.84,77.80,11850000000.0,1.0634565136244867,1.69,13.85,0.0037,-0.002606105733432562,0.039599999999999996,0.1311,-0.0005,0.3145,2.66,11.11,10.21,1.31,1.78,1,71.50,1358692
Emerson Electric Company Common,EMR,3683820,12.00,3.04,3110000000.0,2.52,0.67,2.79,2.46,59.00,41110000000.0,0.9245401666404653,3.47,25.85,0.0011,-0.0007854225573358242,0.0802,0.1634,-0.0098,0.3508,5.31,25.29,22.84,2.85,2.65,1,54.78,5215621
"Equinix, Inc.",EQIX,507129,64.78,1.81,1390000000.0,1.75,1.03,4.91,1.11,377.36,27180000000.0,1.0892071934490113,11.65,343.34,-0.0049,-0.0074482542337444,0.009000000000000001,0.0535,-0.0264,0.3371,5.91,217.58,77.55,8.03,4.93,0,361.43,457244
Equity Residential Common Share,EQR,2253670,27.86,3.25,1560000000.0,1.31,0.32,1.38,11.68,62.52,22560000000.0,1.0550235351403994,-21.22,5.28,-0.0055000000000000005,-0.0062903225806452134,-0.0138,-0.019799999999999998,-0.1832,0.057999999999999996,2.23,47.07,44.68,9.35,3.55,1,62.90,1356693
Eversource Energy (D/B/A) Commo,ES,1385110,33.53,3.37,2510000000.0,2.98,0.86,3.16,2.81,55.25,17670000000.0,1.0442446043165468,3.26,19.84,-0.0034000000000000002,-0.006255585344057235,0.0092,0.0233,-0.0774,0.10279999999999999,1.67,18.71,17.65,2.35,2.89,1,54.49,995591
Express Scripts Holding Company,ESRX,4111440,25.30,0.00,6840000000.0,6.94,1.72,7.63,4.45,69.85,42830000000.0,1.1738060781476123,0.76,15.62,-0.0024,-0.007611661640097633,-0.005600000000000001,-0.032799999999999996,-0.132,0.0776,2.75,10.01,9.10,0.42,5.16,0,71.82,6935103
"Essex Property Trust, Inc. Comm",ESS,392710,94.50,2.80,896250000.0,4.23,1.01,4.36,6.27,227.49,14770000000.0,1.0681069042316258,8.28,35.95,-0.0026,-0.006725068578002036,-0.009000000000000001,0.014499999999999999,-0.0508,0.1336,2.39,53.29,51.70,11.14,5.40,1,222.20,356047
E*TRADE Financial Corporation,ETFC,3088860,21.41,0.00,0.00,1.94,0.49,2.35,1.98,36.17,10210000000.0,1.1548004314994607,1.02,18.79,0.0087,0.005422993492407713,0.028399999999999998,0.19469999999999998,-0.0365,0.7286,1.72,19.18,15.83,4.85,1.06,0,31.14,724072
"Eaton Corporation, PLC Ordinary",ETN,2322520,33.07,3.21,3190000000.0,4.43,1.13,4.89,4.21,69.30,32479999999.999996,1.0031917846239247,1.72,17.13,0.0012,0.0006943480072212349,0.0404,0.085,-0.0025,0.32780000000000004,2.18,16.28,14.74,1.64,2.96,1,66.45,1971821
Entergy Corporation Common Stoc,ETR,1361410,56.21,4.86,3510000000.0,6.90,1.04,4.53,7.16,71.65,12640000000.0,1.035794813979707,-1.27,9.85,-0.0032,0.002401469134058365,-0.015300000000000001,-0.0463,-0.1405,0.057699999999999994,1.26,10.23,15.58,1.18,4.53,1,73.99,1019410
Envision Healthcare Corporation,EVHC,1679980,41.91,0,736150000.0,1.40,0.33,1.62,3.24,67.40,3770000000.0,0.6032448377581121,1.08,21.66,0.030699999999999998,-0.004259068879424399,0.0412,0.8255,-0.1572,0.22440000000000002,1.62,50.13,43.32,1.22,6.18,1,38.44,1188359
Edwards Lifesciences Corporatio,EW,2310970,12.26,0,887770000.0,3.40,0.86,3.85,2.61,94.49,19300000000.0,1.2893883484289388,1.63,34.60,0.0092,-0.0006704659738516749,-0.044199999999999996,-0.1198,-0.2582,0.149,7.30,26.56,23.46,6.45,1.45,1,102.60,1668911
Exelon Corporation Common Stock,EXC,5966650,27.93,3.74,9040000000.0,2.66,0.61,2.87,1.22,35.44,32580000000.0,1.102710413694722,9.29,28.87,-0.004,-0.008766968325791935,-0.0063,0.0308,-0.0658,0.18109999999999998,1.27,13.24,12.27,1.04,2.80,1,34.17,4043727
Expeditors International of Was,EXPD,1303630,10.26,1.46,722390000.0,2.35,0.55,2.48,2.36,53.28,10120000000.0,0.9222966853830827,6.46,23.76,0.0159,0.0,0.0528,0.07730000000000001,-0.005,0.2862,5.38,23.87,22.62,1.65,9.68,0,52.07,1231846
"Expedia, Inc.",EXPE,1968890,27.54,0.87,1070000000.0000001,5.42,0.96,6.93,1.82,119.03,18110000000.0,1.1797724611008866,0.92,66.42,0.0101,-0.0010863207153003485,0.0155,0.0202,-0.0949,0.2516,4.34,22.30,17.44,2.04,6.22,0,118.49,2251437
Extra Space Storage Inc Common,EXR,916792,17.48,4.16,558240000.0,2.54,0.51,2.48,2.32,74.53,9250000000.0,1.0984733874295147,5.46,31.75,0.0005,-0.010748299319727983,-0.013300000000000001,-0.0344,-0.2243,0.08,4.20,28.95,29.65,9.54,7.02,1,76.16,731598
Ford Motor Company Common Stock,F,35449500,7.34,4.80,13300000000.0,1.64,0.45,1.72,1.15,12.52,50200000000.0,1.05229793977813,2.63,10.98,-0.0016,-0.002371541501976382,0.0092,0.0288,-0.1118,0.1409,1.72,7.70,7.34,0.33,1.55,1,12.28,25114438
Fastenal Company,FAST,2559920,6.68,2.55,899360000.0,1.84,0.49,2.02,1.73,49.07,14600000000.0,1.0051854806541682,2.33,29.18,0.0014000000000000002,-0.004961301845604282,0.028399999999999998,0.1325,-0.0213,0.3385,7.54,27.42,24.98,3.68,6.17,0,44.56,1470947
"Facebook, Inc.",FB,20491700,20.51,0,14840000000.0,5.42,1.30,6.69,3.49,127.87,385640000000.0,1.1946047208692394,1.05,38.20,-0.0031,-0.002988419872992143,0.0436,0.0646,-0.0151,0.3075,6.53,24.62,19.95,14.00,1.01,0,125.35,13226534
"Fortune Brands Home & Security,",FBHS,1215720,15.06,1.26,776100000.0,3.03,0.88,3.44,2.62,55.27,9000000000.0,1.1348591549295775,1.96,21.95,0.009300000000000001,-0.0010552233556102575,0.0384,0.0025,-0.10980000000000001,0.1991,3.78,18.94,16.68,1.79,3.13,1,57.24,1105364
FedEx Corporation Common Stock,FDX,1618120,54.52,0.83,7860000000.0,11.97,3.66,13.47,6.80,189.03,51880000000.0,1.0898480053950304,1.52,28.61,0.0115,0.0016107243063494536,0.029900000000000003,0.0861,-0.0342,0.5525,3.53,16.26,14.45,0.93,2.27,1,179.23,1308709
"F5 Networks, Inc.",FFIV,689734,18.44,0,610230000.0,8.29,2.09,9.19,5.54,140.91,9270000000.0,1.0172682236376505,1.50,25.83,0.0144,0.0014174344436570507,0.015700000000000002,0.0801,-0.0351,0.5710000000000001,7.65,17.27,15.57,4.52,5.73,0,132.52,870111
Fidelity National Information S,FIS,1878190,29.79,1.44,2470000000.0,4.24,0.99,4.80,1.72,78.89,26620000000.0,1.112919254658385,1.44,47.25,0.0113,0.0,0.0319,0.0487,-0.0032,0.4325,2.70,19.20,16.96,2.85,2.35,1,77.63,1620389
"Fiserv, Inc.",FISV,1039610,11.56,0,1860000000.0,5.11,1.25,5.72,4.15,108.38,24430000000.0,1.0164336299255494,1.74,26.77,0.0085,0.0,0.024900000000000002,0.0684,-0.0039000000000000003,0.20199999999999999,9.53,21.74,19.42,4.40,3.29,0,103.97,1337948
Fifth Third Bancorp,FITB,6728740,19.82,2.09,0.00,1.78,0.43,2.00,1.93,26.69,20680000000.0,0.9888408927285817,15.48,14.28,0.0004,0.008348457350272342,0.0327,0.18420000000000003,-0.0115,0.8929,1.39,15.48,13.78,3.62,2.74,0,23.27,6620680
"Foot Locker, Inc.",FL,1814440,19.89,1.54,1140000000.0,4.78,1.53,5.27,4.63,69.95,9310000000.0,1.137137989778535,1.59,15.19,-0.0038,-0.0028312570781426905,0.006,0.024399999999999998,-0.11410000000000001,0.3825,3.55,14.72,13.35,1.22,5.63,1,68.69,1237181
"FLIR Systems, Inc.",FLIR,729206,12.15,1.33,353220000.0,1.79,0.40,2.03,1.27,35.69,5030000000.0,1.0801504629629628,1.20,29.03,0.0814,0.012005856515373559,0.0346,0.10859999999999999,-0.0078000000000000005,0.31989999999999996,2.81,20.63,18.19,2.86,1.23,0,33.31,2898442
Fluor Corporation Common Stock,FLR,1326730,22.31,1.50,853240000.0,2.30,0.67,2.92,1.13,54.53,8100000000.0,0.9837894369879728,2.63,51.48,0.0143,0.0003487358326066392,0.0668,0.1112,-0.0034000000000000002,0.3885,2.57,25.29,19.92,0.43,3.45,1,52.35,1220402
Flowserve Corporation Common St,FLS,1247950,13.05,1.49,519840000.00000006,2.12,0.40,2.13,1.15,49.72,6630000000.0,0.9576688324473321,-13.34,44.11,-0.0022,-0.0027488709994110128,0.022099999999999998,0.07,-0.032,0.2987,3.90,23.97,23.86,1.58,9.40,1,47.50,93834
FMC Corporation Common Stock,FMC,946176,14.88,1.14,689300000.0,3.39,0.84,3.76,1.56,59.02,7760000000.0,1.0684101143055074,1.57,37.20,-0.0012,-0.0055115397864278215,-0.0175,0.1054,-0.07719999999999999,0.6253,3.90,17.11,15.42,2.37,3.67,1,52.46,742340
"Twenty-First Century Fox, Inc.",FOX,3326870,7.75,1.21,6950000000.0,1.89,0.42,2.10,1.64,29.48,56140000000.0,1.1409395973154361,1.44,18.48,0.0103,-0.007328447701532292,0.028900000000000002,0.1252,-0.031,0.2701,3.87,16.05,14.44,1.98,2.65,0,26.95,2187115
"Twenty-First Century Fox, Inc.",FOXA,9094640,7.748,1.200,6950000000.0,1.920,0.400,2.090,1.641,30.081,56810000000.0,1.1346409574468086,1.190,18.705,0.013040000000000001,-0.007260726072607304,0.02043,0.13749,-0.03323,0.31568999999999997,3.911,15.987,14.687,1.998,2.520,0,26.985,7597440
Federal Realty Investment Trust,FRT,392161,27.34,2.74,503460000.0,3.36,0.80,3.47,3.68,141.05,10050000000.0,1.0813704496788008,5.04,38.07,-0.0078000000000000005,-0.006946413382478145,-0.0076,-0.0496,-0.1818,0.0416,5.16,41.66,40.34,12.81,4.47,1,147.29,489344
"First Solar, Inc.",FSLR,2441250,57.22,0,720610000.0,4.70,0.12,0.41,4.89,33.14,3610000000.0,1.001762632197415,-0.20,7.09,0.0239,0.003537735849056478,0.0479,-0.0301,-0.5325,0.2143,0.59,7.39,84.71,1.03,9.02,0,35.81,2310350
TechnipFMC plc Ordinary Share,FTI,5386620,43.06,3.50,1310000000.0,1.06,0.21,1.07,4.61,34.30,3900000000.0,1.1138337468982629,-2.92,7.09,0.0108,-0.00278379214351987,-0.0473,0.0274,-0.1189,0.4044,0.75,30.83,30.54,0.37,2.56,1,31.81,5785285
Fortive Corporation Common Stoc,FTV,1619290,7.77,0.49,1420000000.0,2.68,0.68,2.92,2.51,54.93,19920000000.0,1.0183438155136268,3.75,22.94,0.0051,-0.0008727526618955705,0.0482,0.0931,-0.0079,0.33909999999999996,7.37,21.49,19.72,3.18,0.65,1,52.68,1022011
General Dynamics Corporation Co,GD,1530480,36.43,1.65,4760000000.0,9.76,2.39,10.58,9.52,179.23,56640000000.0,1.082512315270936,1.93,19.74,0.0040999999999999995,-0.0025102814719862865,0.0489,0.1495,-0.0016,0.4717,5.14,19.26,17.77,1.80,1.30,1,163.55,998618
General Electric Company Common,GE,29975500,8.62,3.23,16800000000.0,1.63,0.31,1.91,0.90,30.61,266930000000.0,1.1224826675470452,1.53,33.87,0.0023,0.00033025099075301156,-0.0084,-0.0043,-0.0803,0.1093,3.51,18.62,15.89,2.15,2.56,1,30.48,25472282
GGP Inc. Common Stock,GGP,4054520,9.48,3.45,1820000000.0,0.61,0.14,0.70,1.34,25.04,22130000000.0,1.1987975951903809,8.05,18.66,-0.0008,-0.0031961646024770696,-0.0012,-0.061,-0.22089999999999999,0.052199999999999996,2.64,41.00,35.73,8.59,4.72,1,26.64,4561916
"Gilead Sciences, Inc.",GILD,10485500,14.78,3.13,19220000000.0,8.88,2.13,7.94,9.94,71.95,90380000000.0,1.2050221565731165,-1.31,6.94,0.0213,0.0022205773501111636,-0.041100000000000005,-0.0855,-0.3308,0.0552,4.57,8.05,8.69,2.91,1.27,0,75.44,7129741
"General Mills, Inc. Common Stoc",GIS,2611850,7.20,3.05,3380000000.0,3.08,0.75,3.35,2.68,62.09,36650000000.0,1.0146777281429484,2.88,23.60,0.0016,-0.0064986527183389375,0.0178,-0.013999999999999999,-0.1338,0.0925,8.76,20.52,18.86,2.29,3.97,1,64.09,2651381
Corning Incorporated Common Sto,GLW,7145170,16.8390,2.3200,2560000000.0,1.6700,0.4100,1.7900,3.2300,25.5065,25450000000.0,0.9760589318600369,1.8300,8.4892,0.006612,-0.0033039647577092213,0.075024,0.149362,-0.0029049999999999996,0.550034,1.6177,16.4192,15.3185,2.6924,2.5600,1,23.8568,5618697
General Motors Company Common S,GM,14470700,29.22,4.32,19680000000.0,6.06,1.77,6.00,6.00,36.46,55540000000.0,1.054127198917456,1.19,6.18,-0.0043,-0.007787325456498406,0.0169,0.1033,-0.0337,0.37079999999999996,1.27,6.12,6.18,0.34,2.62,1,33.61,15674368
Alphabet Inc.,GOOG,1534020,201.12,0,29860000000.0,33.23,8.07,38.73,27.88,805.65,566260000000.0,1.165543839093927,1.27,29.38,-0.0018,-0.0013285392162837306,0.0165,0.0443,-0.0273,0.2347,4.08,24.65,21.15,6.28,1.21,0,784.23,1313617
Alphabet Inc.,GOOGL,1684420,201.12,0,29860000000.0,33.37,8.09,38.92,27.88,826.76,578940000000.0,1.181244858788045,1.31,30.04,-0.0032,-0.0014523290834851377,0.0128,0.0381,-0.0342,0.24480000000000002,4.18,25.09,21.51,6.43,1.66,0,806.58,1357185
