.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
Costco Wholesale Corporation,COST,2287380,28.34,1.05,5050000000.0,5.67,1.99,6.42,5.42,169.56,74900000000.0,0.062434295058988454,2.98,31.48,-0.002511388856442087,0.0063,0.0654,-0.0452,0.2314,6.04,30.09,26.58,0.62,2.76,160.16,1191415
Campbell Soup Company Common St,CPB,1677400,4.82,2.48,1370000000.0,3.06,0.51,3.20,1.61,58.22,17240000000.0,0.0323893805309734,3.93,35.29,-0.001415929203539834,-0.0271,-0.0242,-0.16570000000000001,0.077,11.72,18.51,17.70,2.17,3.72,58.04,1276226
Salesforce.com Inc Common Stock,CRM,4625450,10.60,0,504830000.0,1.29,0.31,1.68,0.26,82.81,59330000000.0,0.13960113960113962,2.34,322.54,-0.002018043684710369,0.0126,0.09759999999999999,-0.0296,0.26239999999999997,7.95,65.01,49.92,7.10,2.90,76.40,2536159
"Cisco Systems, Inc.",CSCO,20133400,12.74,3.43,14670000000.0,2.38,0.62,2.49,1.94,33.93,164860000000.0,0.06997879430475629,1.38,16.97,-0.000605877006967459,-0.0297,0.043899999999999995,-0.0466,0.2755,2.59,13.83,13.22,3.40,1.82,31.54,18945836
CSRA Inc. Common Stock,CSRA,1180870,1.87,1.43,745570000.0,2.01,0.49,2.06,1.18,29.17,4600000000.0,0.25133120340788073,1.40,23.79,-0.0070997515086973495,-0.0337,-0.0521,-0.1595,0.2843,15.10,14.02,13.68,0.91,1.97,29.74,594713
CSX Corporation,CSX,12469500,12.58,1.52,4690000000.0,2.06,0.55,2.43,1.81,47.65,43740000000.0,0.09228187919463093,1.92,26.10,-0.004614093959731558,-0.0092,0.1941,-0.0616,0.9325,3.79,22.92,19.43,3.99,2.22,39.54,6174348
Cintas Corporation,CTAS,561200,20.71,0.83,997250000.0,4.54,1.20,4.84,4.82,121.70,12950000000.0,0.07321050057068312,2.25,25.50,-0.005054622533833264,0.0103,0.06309999999999999,-0.045700000000000005,0.3892,5.92,27.08,25.40,2.51,9.00,115.66,481183
"CenturyLink, Inc. Common Stock",CTL,8055920,24.52,8.80,6490000000.0,2.15,0.55,2.07,1.16,23.64,13610000000.0,0.09167671893847995,377.33,21.47,0.0012062726176114147,0.053099999999999994,-0.003,-0.2556,0.1151,1.01,11.53,12.03,0.78,10.89,24.97,8899935
Cognizant Technology Solutions,CTSH,5165990,17.65,0,2670000000.0,3.66,0.90,4.31,2.55,58.90,35840000000.0,0.10445989486179408,1.27,23.09,-0.004069866033576397,-0.0003,0.059800000000000006,-0.0688,0.2958,3.34,16.09,13.66,2.66,5.54,55.56,3612932
"Citrix Systems, Inc.",CTXS,2335460,16.69,0,1030000000.0,4.65,1.10,5.07,3.41,81.87,13080000000.0,0.020493767976989652,1.50,24.54,-0.0023969319271333056,0.022099999999999998,0.1338,-0.049,0.3796,5.00,18.00,16.50,3.82,3.97,73.80,1329414
CVS Health Corporation Common S,CVS,6922630,34.71,2.59,13050000000.0,5.87,1.33,6.38,4.91,79.40,82940000000.0,0.10988304845135577,1.13,15.92,-0.001156663667909008,-0.0155,-0.029900000000000003,-0.2672,0.128,2.24,13.32,12.25,0.47,5.58,80.58,4866676
"Dominion Resources, Inc. Common",D,2577820,23.26,3.89,5800000000.0,3.68,0.74,4.06,3.44,77.04,48670000000.0,-0.008599666281607021,4.78,22.52,-0.003593890386343279,0.005699999999999999,0.0351,-0.023700000000000002,0.1276,3.35,21.05,19.08,4.17,7.79,74.86,1814223
"Delta Air Lines, Inc. Common St",DAL,8461140,16.88,1.79,8240000000.0,5.12,1.59,5.69,5.79,47.41,32970000000.0,-0.9911051812319324,-20.09,7.82,0.0006671114076051143,-0.0447,-0.0322,-0.1416,0.3893,2.66,8.86,7.96,0.83,1.13,46.79,10506828
E.I. du Pont de Nemours and Com,DD,2883600,11.31,1.90,5070000000.0,3.68,1.31,4.01,2.86,80.14,68420000000.0,0.07087500000000002,3.23,27.72,-0.004874999999999963,-0.0125,0.0647,-0.0392,0.2948,7.07,21.51,19.74,2.81,1.75,74.33,1992299
Deere & Company Common Stock,DE,2247050,21.44,2.20,3890000000.0,4.79,1.47,5.54,4.62,109.64,35380000000.0,-0.011037124874578086,1.14,24.08,0.003557420414120216,0.0139,0.1012,-0.0091,0.45630000000000004,5.11,23.21,20.06,1.31,6.26,100.94,2846708
Discover Financial Services Com,DFS,2237040,27.68,1.82,0.00,6.08,1.50,6.77,5.77,69.39,25460000000.0,0.22008253094910568,1.23,11.44,-0.004126547455295837,-0.0484,-0.006500000000000001,-0.1117,0.3122,2.36,10.86,9.75,3.48,2.22,66.46,2473323
Dollar General Corporation Comm,DG,2990150,19.64,1.50,2450000000.0,4.45,1.09,4.90,4.43,71.89,19020000000.0,0.13628522139160437,2.13,15.61,-0.0005750431282347535,-0.0382,-0.0504,-0.2862,0.0398,3.54,15.54,14.11,0.87,2.40,72.82,2194848
Quest Diagnostics Incorporated,DGX,826586,33.78,1.83,1410000000.0,5.46,1.44,5.79,4.51,98.11,13510000000.0,-0.03390693412076162,2.18,21.78,-0.002545565624681778,0.0012,0.08109999999999999,-0.0177,0.3475,2.91,17.99,16.97,1.80,7.70,90.86,447619
"D.R. Horton, Inc. Common Stock",DHI,4224090,18.70,1.21,1520000000.0,2.74,0.74,2.99,2.49,32.86,12600000000.0,0.05363061163000915,1.29,13.56,0.0006025911419103025,0.0268,0.1265,-0.023700000000000002,0.2641,1.77,12.31,11.28,0.98,2.76,29.95,3367201
Danaher Corporation Common Stoc,DHR,2248800,33.23,0.65,4120000000.0,3.95,0.99,4.31,3.65,86.20,59770000000.0,0.06514922773197074,2.30,23.61,-0.0026710022064800887,0.0001,0.0613,-0.020499999999999997,0.2151,2.59,21.83,20.00,3.54,3.10,81.23,1277730
Walt Disney Company (The) Commo,DIS,6162460,27.01,1.39,16780000000.000002,5.95,1.70,6.74,5.54,111.74,178790000000.0,0.0498977141332384,1.99,20.41,0.011118028995819706,0.011899999999999999,0.08929999999999999,-0.0068000000000000005,0.252,4.16,19.00,16.78,3.22,3.12,103.80,5230837
"Discovery Communications, Inc.",DISCA,2782490,8.83,0,2440000000.0,2.16,0.67,2.43,1.96,28.39,17000000000.0,-0.0346008907159987,1.21,14.84,0.0017129153819799292,0.022799999999999997,0.051,-0.0291,0.2274,3.31,13.44,11.95,2.63,9.31,27.63,1644865
"Discovery Communications, Inc.",DISCK,1338960,8.83,0,2440000000.0,2.16,0.67,2.43,1.96,27.71,16670000000.000002,-0.00978678783642084,0.97,14.55,-0.001747640685075158,0.0278,0.0588,-0.0218,0.2697,3.24,13.19,11.72,2.58,2.20,26.90,1274899
DISH Network Corporation,DISH,3598000,9.97,0.00,3170000000.0,2.81,0.77,2.66,3.05,62.64,29570000000.0,0.18110360006288317,-30.41,20.83,-0.0028297437509825496,0.014499999999999999,0.0687,-0.0184,0.4489,6.38,22.86,23.98,1.96,3.36,59.46,2441347
Delphi Automotive plc Ordinary,DLPH,1974320,8.90,1.54,2980000000.0,6.53,1.69,7.18,4.59,77.95,20190000000.0,0.14060638157023697,0.95,16.32,-0.0003971931682774654,-0.039,0.051,-0.1,0.2907,8.49,11.47,10.43,1.22,3.40,71.28,1911823
"Digital Realty Trust, Inc. Comm",DLR,1168870,25.68,3.42,1160000000.0,1.59,0.39,1.98,2.20,105.55,17430000000.0,-0.0032936870997255507,1.92,49.74,0.0008234217749314432,0.0366,0.1014,-0.0335,0.2798,4.26,68.82,55.26,8.06,11.88,99.34,637042
"Dollar Tree, Inc.",DLTR,2901440,22.82,0,2350000000.0,4.46,0.90,5.05,3.78,76.62,18210000000.0,0.15037303833290472,1.26,20.39,-0.000771803447388586,0.0060999999999999995,-0.0199,-0.22870000000000001,0.062400000000000004,3.41,17.28,15.26,0.89,1.56,78.64,2283364
Dover Corporation Common Stock,DOV,1151500,24.45,2.20,1120000000.0,3.58,0.92,4.26,3.25,79.56,12610000000.0,0.03464917708204429,1.87,24.96,-0.0014849647320877013,0.0195,0.0767,-0.0176,0.2897,3.31,22.66,19.04,1.85,1.77,75.33,919703
Dow Chemical Company (The) Comm,DOW,6043600,21.46,2.91,8690000000.0,4.09,1.07,4.35,3.52,63.48,75820000000.0,0.106369527422159,2.21,17.75,-0.003477161371898352,-0.015600000000000001,0.07440000000000001,-0.044800000000000006,0.3153,2.95,15.28,14.37,1.59,3.35,58.16,4903226
"Dr Pepper Snapple Group, Inc Dr",DPS,1129830,11.65,2.40,1650000000.0,4.59,1.29,5.00,4.54,95.74,17780000000.0,0.018539499433515294,2.40,21.39,-0.0010299721907509607,0.0144,0.0695,-0.017,0.19829999999999998,8.33,21.16,19.42,2.76,4.75,90.81,708804
"Darden Restaurants, Inc. Common",DRI,1608740,15.87,2.68,940800000.0,3.98,0.93,4.33,3.91,77.67,10310000000.0,0.009431680773881457,1.79,21.19,0.0010882708585249201,0.0678,0.14880000000000002,-0.019,0.39390000000000003,5.21,20.84,19.15,1.46,9.06,72.19,1026287
DTE Energy Company Common Stock,DTE,924573,50.22,3.20,2240000000.0,5.33,1.03,5.67,4.83,101.35,18500000000.0,-0.0023255813953488857,3.83,21.35,0.0,0.0176,0.061200000000000004,-0.004699999999999999,0.21660000000000001,2.05,19.35,18.19,1.74,4.12,97.18,756107
Duke Energy Corporation (Holdin,DUK,3031560,58.62,4.16,10030000000.0,4.62,1.03,4.83,3.12,81.82,57500000000.0,-0.01832524271844671,6.98,26.34,-0.000970873786407922,0.0045000000000000005,0.0489,-0.0634,0.1362,1.41,17.79,17.02,2.58,3.14,78.36,1876596
DaVita Inc. Common Stock,DVA,1202350,23.89,0,2490000000.0,3.57,0.91,3.93,4.29,68.14,13290000000.0,-0.024608173429031654,1.41,15.92,-0.003515453347004427,0.0024,0.0596,-0.1328,0.2534,2.86,19.13,17.38,0.90,2.99,64.47,561841
Electronic Arts Inc.,EA,2777970,11.56,0,1240000000.0,3.83,0.20,4.17,4.12,88.72,27650000000.0,0.06828938471940504,1.40,21.77,0.0004507550146495287,0.0108,0.0791,-0.0233,0.4678,7.68,23.42,21.51,5.91,4.70,83.11,1763920
eBay Inc.,EBAY,8951260,9.69,0,3010000000.0,2.01,0.47,2.21,6.35,33.63,36950000000.0,0.0234879624192601,2.30,5.35,-0.0011743981209629828,0.0106,0.08929999999999999,-0.021400000000000002,0.5242,3.51,16.91,15.38,4.12,2.41,31.20,5165050
Ecolab Inc. Common Stock,ECL,971837,23.65,1.18,2870000000.0,4.79,1.15,5.37,4.14,124.72,36660000000.0,0.029077619766425755,2.18,30.35,-0.002145070310638042,0.0076,0.0475,-0.011000000000000001,0.13570000000000002,5.32,26.23,23.40,2.79,4.49,119.96,617609
"Consolidated Edison, Inc. Commo",ED,1605800,46.88,3.55,3690000000.0,4.09,0.70,4.27,4.12,77.05,23760000000.0,-0.052685553134213525,5.44,18.91,-0.0017946417126009084,0.0111,0.052000000000000005,-0.048600000000000004,0.1329,1.66,19.05,18.24,1.97,6.37,74.05,1733055
"Equifax, Inc. Common Stock",EFX,781776,22.21,1.14,1120000000.0,6.05,1.58,6.69,4.04,133.96,16270000000.0,0.04786488679106138,2.05,33.60,-0.0016225385352901522,0.013300000000000001,0.08109999999999999,-0.0159,0.2243,6.11,22.44,20.29,5.17,2.91,125.56,405226
Edison International Common Sto,EIX,1743270,36.82,2.73,3960000000.0,4.14,1.01,4.31,3.98,79.42,26060000000.0,0.01011488511488512,4.04,20.12,-0.0008741258741258306,0.0072,0.0873,-0.0165,0.1861,2.17,19.32,18.56,2.20,2.72,73.57,1318106
"Estee Lauder Companies, Inc. (T",EL,1968420,10.36,1.62,2200000000.0,3.33,0.54,3.72,2.89,84.65,31090000000.0,0.08947119924457025,2.76,29.32,-0.0012983947119924455,0.0023,0.030699999999999998,-0.12960000000000002,0.12689999999999999,8.18,25.56,22.81,2.73,3.69,82.32,994572
Eastman Chemical Company Common,EMN,1211040,30.94,2.54,2109999999.9999998,7.29,1.91,7.97,5.75,79.37,11740000000.0,0.07606124735466202,1.57,13.94,-0.0004979459728617908,0.01,0.0645,-0.0235,0.2786,2.60,11.00,10.06,1.31,2.99,75.32,682537
Emerson Electric Company Common,EMR,3906010,12.00,3.23,3110000000.0,2.58,0.68,2.82,2.46,59.91,38530000000.0,0.024152968802415353,2.76,24.23,-0.002515934250251539,-0.0029,0.053,-0.07200000000000001,0.2329,4.97,23.15,21.18,2.67,2.49,56.72,2685905
"Equinix, Inc.",EQIX,605481,61.14,1.80,1500000000.0,4.78,1.12,7.00,1.79,384.55,28640000000.0,0.05372508916768526,4.48,222.75,-0.0017209986780735154,0.0398,0.0917,-0.0116,0.2711,6.56,83.65,57.45,7.95,2.30,366.25,450144
Equity Residential Common Share,EQR,1965010,27.86,3.20,1570000000.0,1.28,0.32,1.41,11.68,62.76,23460000000.0,0.015435501653803696,-22.09,5.47,-0.0007875255945818393,0.0184,0.028900000000000002,-0.125,0.0968,2.28,49.94,45.33,9.61,4.72,62.12,1550542
Eversource Energy (D/B/A) Commo,ES,1449990,33.80,3.20,2550000000.0,3.16,0.67,3.31,2.96,58.72,18760000000.0,-0.005229419703103977,3.13,20.00,-0.002024291497975783,0.0083,0.0699,-0.0204,0.1711,1.75,18.74,17.89,2.46,3.33,55.34,1214913
Express Scripts Holding Company,ESRX,4432670,26.81,0.00,7100000000.0,6.92,1.70,7.60,5.39,67.31,40440000000.0,0.2098654708520178,0.76,12.39,0.0007473841554559435,-0.008,-0.046900000000000004,-0.1656,0.0562,2.49,9.65,8.79,0.40,6.67,70.06,2427266
"Essex Property Trust, Inc. Comm",ESS,349335,94.50,3.00,898180000.0,4.19,1.01,4.39,6.27,231.96,15520000000.0,0.016916733965231412,8.59,37.77,0.0008500871339311988,0.0208,0.06,-0.0075,0.1839,2.49,56.51,53.94,11.60,6.64,223.40,273283
E*TRADE Financial Corporation,ETFC,3467770,21.41,0.00,0.00,1.83,0.45,2.25,1.98,35.07,9360000000.0,0.20064252336448596,2.07,17.21,-0.006133177570093462,-0.028300000000000002,0.011200000000000002,-0.1173,0.5836,1.60,18.62,15.15,4.50,1.19,33.70,2914887
"Eaton Corporation, PLC Ordinary",ETN,2236790,33.15,3.24,3190000000.0,4.45,1.14,4.91,4.21,73.07,33900000000.0,-0.0064814814814814214,1.77,17.91,-0.0038359788359787483,0.0317,0.1009,-0.0131,0.3884,2.28,16.94,15.35,1.72,3.00,68.48,2105202
Edwards Lifesciences Corporatio,EW,2206410,12.38,0,894700000.0,3.41,0.87,3.86,2.61,93.55,19890000000.0,0.22971828002541828,1.71,35.86,-0.00466002965473411,0.0005,-0.0288,-0.23120000000000002,0.15380000000000002,7.63,27.45,24.25,6.77,0.73,96.38,1303130
Exelon Corporation Common Stock,EXC,4884690,27.96,3.64,9130000000.0,2.67,0.60,2.87,1.22,36.04,33490000000.000004,0.08349623010332285,8.88,29.62,-0.0016755096341805054,0.0026,0.04650000000000001,-0.0414,0.2119,1.28,13.54,12.59,1.06,4.14,34.54,5238489
Expeditors International of Was,EXPD,1095310,10.26,1.43,716960000.0,2.49,0.63,2.71,2.36,56.29,10080000000.0,-0.029731173224140983,3.65,23.72,-0.007833363005163019,-0.005699999999999999,0.0452,-0.0241,0.20420000000000002,5.48,22.48,20.73,1.66,10.01,53.55,839996
"Expedia, Inc.",EXPE,1814330,27.54,0.89,1070000000.0000001,5.42,0.95,6.92,1.82,125.26,19340000000.0,0.1110073174529036,1.03,70.95,0.0028024287716019725,0.0308,0.058499999999999996,-0.0332,0.3369,4.66,23.82,18.66,2.19,5.47,121.99,2704131
Extra Space Storage Inc Common,EXR,903039,17.88,4.00,649290000.0,2.60,0.64,2.76,2.91,76.71,9880000000.0,0.033257171871033275,3.75,27.07,0.0,0.025699999999999997,0.050199999999999995,-0.17010000000000003,0.1555,4.41,30.26,28.51,9.85,8.49,74.92,565795
Ford Motor Company Common Stock,F,37297100,7.34,5.34,13300000000.0,1.59,0.46,1.67,1.15,12.09,44830000000.0,0.17155555555555546,2.42,9.81,0.001777777777777656,-0.06709999999999999,-0.0766,-0.20679999999999998,0.019,1.53,7.09,6.75,0.29,2.77,12.22,36366316
Fastenal Company,FAST,2281510,6.68,2.55,899360000.0,1.85,0.49,2.04,1.73,51.03,14560000000.0,0.00019829466587339972,2.35,29.12,-0.000793178663493932,-0.013500000000000002,0.0737,-0.0455,0.3353,7.54,27.21,24.68,3.68,9.59,46.88,3886893
"Facebook, Inc.",FB,17042900,20.51,0,14840000000.0,5.43,1.30,6.66,3.49,139.08,404370000000.0,0.13776233692569484,1.10,40.06,-0.001701644923425838,0.006,0.0866,-0.0245,0.31620000000000004,6.88,25.77,21.01,14.75,1.27,128.77,16631237
"Fortune Brands Home & Security,",FBHS,1214910,15.39,1.18,774700000.0,3.03,0.88,3.44,2.62,59.78,9500000000.0,0.0558334678070036,2.14,23.73,-0.002743262869130292,0.0381,0.096,-0.0374,0.1923,4.03,20.48,18.04,1.90,2.84,56.62,1385668
FedEx Corporation Common Stock,FDX,1695080,56.79,0.82,7810000000.0,11.93,3.20,13.60,7.03,193.30,51600000000.0,0.11800163465467928,1.40,27.44,-0.003626890069472699,-0.0016,0.0315,-0.0426,0.331,3.45,16.18,14.19,0.91,2.64,187.09,2393506
"F5 Networks, Inc.",FFIV,715289,18.44,0,610230000.0,8.34,2.09,9.20,5.54,143.58,8860000000.0,0.0439134882361536,1.39,24.67,0.00014613473622659967,-0.0481,-0.0125,-0.0858,0.4386,7.42,16.39,14.86,4.39,6.73,138.41,828304
Fidelity National Information S,FIS,1763020,29.70,1.45,2270000000.0,4.25,0.99,4.81,1.72,81.33,26330000000.0,0.11571889744226471,1.42,46.48,-0.0036006953066799463,-0.015300000000000001,0.022000000000000002,-0.0451,0.25579999999999997,2.71,18.84,16.65,2.87,2.66,78.36,1174761
"Fiserv, Inc.",FISV,971500,11.79,0,1720000000.0,5.11,1.25,5.73,4.15,116.19,24950000000.0,-0.023979987923747115,1.83,28.01,-0.0019839558354179943,0.0006,0.08039999999999999,-0.0172,0.2527,9.83,22.75,20.29,4.52,3.11,107.61,564230
Fifth Third Bancorp,FITB,6237440,19.82,2.24,0.00,1.78,0.43,2.00,1.93,26.34,18540000000.0,0.10927419354838719,2.95,12.79,-0.005645161290322553,-0.0626,-0.016,-0.1477,0.5297,1.25,13.87,12.35,3.21,3.53,25.09,7388364
"Foot Locker, Inc.",FL,1846170,20.61,1.72,1160000000.0,5.41,1.05,5.87,4.91,74.26,9510000000.0,0.14422145328719727,1.44,14.76,-0.0009688581314878375,-0.024,0.0132,-0.0875,0.424,3.51,13.40,12.35,1.22,4.08,71.53,1670389
"FLIR Systems, Inc.",FLIR,749853,12.31,1.68,354660000.0,1.83,0.41,2.07,1.20,36.29,4860000000.0,0.08888888888888902,1.22,29.72,-0.0030942334739803012,-0.0172,0.0259,-0.0475,0.2619,2.89,19.49,17.23,2.92,0.96,34.76,1277134
Fluor Corporation Common Stock,FLR,1220980,22.44,1.62,888160000.0,2.89,0.72,3.24,2.00,53.80,7350000000.0,0.09766736203299842,1.29,26.37,-0.0011378721790251678,-0.0197,-0.0060999999999999995,-0.0965,0.1973,2.35,18.25,16.28,0.39,2.87,53.06,799568
Flowserve Corporation Common St,FLS,1522200,12.70,1.56,477920000.0,1.77,0.44,2.24,1.11,47.15,6420000000.0,0.014634146341463428,1.81,44.29,0.0,0.0426,0.036699999999999997,-0.0636,0.2563,3.87,27.77,21.95,1.61,4.81,47.42,946074
FMC Corporation Common Stock,FMC,1659280,14.64,0.88,714400000.0,3.41,0.85,3.86,1.56,62.67,10080000000.0,0.0053170277814700295,2.03,48.41,-0.0014621826399042748,0.2028,0.3295,-0.0072,0.9634999999999999,5.14,22.11,19.53,3.06,2.41,56.70,2242699
"Twenty-First Century Fox, Inc.",FOX,2477580,7.75,1.18,6950000000.0,1.95,0.43,2.08,1.64,30.46,56390000000.0,0.09477124183006524,1.39,18.57,-0.0035947712418301636,0.0004,0.0747,-0.046,0.276,3.95,15.63,14.65,2.02,2.33,28.35,1822499
"Twenty-First Century Fox, Inc.",FOXA,7323040,7.75,1.16,6950000000.0,1.91,0.40,2.09,1.64,30.99,57650000000.0,0.09122919334186963,1.23,18.98,-0.0035211267605633756,0.0052,0.0859,-0.044500000000000005,0.33520000000000005,4.03,16.31,14.90,2.06,3.10,28.69,5244927
Federal Realty Investment Trust,FRT,450363,27.32,2.95,512830000.00000006,3.20,0.79,3.43,3.50,134.61,9740000000.0,0.11847704367301226,8.30,38.59,0.00037327360955585753,0.0034999999999999996,-0.0391,-0.2104,0.0719,4.90,42.21,39.38,12.05,4.08,140.58,410708
TechnipFMC plc Ordinary Share,FTI,5817150,43.13,3.33,1160000000.0,1.06,0.34,1.69,2.52,32.33,3990000000.0,0.06747919143876335,-2.68,13.42,0.003864447086801448,0.0371,0.0096,-0.0722,0.09539999999999998,0.78,24.12,19.84,0.45,2.29,33.21,1908111
Fortive Corporation Common Stoc,FTV,1465370,7.77,0.46,1440000000.0,2.68,0.68,2.93,2.51,59.02,21020000000.0,-0.00983606557377048,3.98,24.21,-0.005573770491803298,0.0296,0.10859999999999999,-0.005600000000000001,0.4133,7.85,22.68,20.74,3.39,1.26,54.82,2477402
General Dynamics Corporation Co,GD,1331660,36.43,1.79,4760000000.0,9.75,2.38,10.56,9.52,189.41,56760000000.0,0.082063305978898,2.07,19.78,-0.0011723329425556983,-0.0054,0.0819,-0.028999999999999998,0.41979999999999995,5.15,19.32,17.84,1.80,2.58,174.12,810587
General Electric Company Common,GE,30071300,8.67,3.20,17140000000.0,1.63,0.31,1.90,0.89,29.89,262089999999.99997,0.10429856714428509,1.49,33.64,-0.0003332222592469236,0.0051,-0.006,-0.0897,0.06559999999999999,3.46,18.43,15.81,2.18,2.96,30.22,22040223
GGP Inc. Common Stock,GGP,5014540,9.50,3.82,1860000000.0,0.62,0.14,0.70,1.34,23.67,20570000000.0,0.25226000860955655,7.29,17.37,-0.0008609556607834801,-0.0166,-0.0704,-0.2748,0.0421,2.45,37.55,33.26,7.90,6.01,25.04,4592756
"Gilead Sciences, Inc.",GILD,10207300,14.42,3.12,19220000000.0,8.23,2.13,7.52,9.94,68.40,86290000000.0,0.19090635350797935,-1.68,6.64,0.0001505570611262108,-0.0347,-0.0882,-0.35969999999999996,0.0098,4.61,8.02,8.78,2.86,1.35,72.41,7328395
"General Mills, Inc. Common Stoc",GIS,3225880,7.05,3.33,3410000000.0,3.06,0.84,3.24,2.70,59.79,33080000000.0,0.056154381084839944,2.93,21.27,-0.000869262865090481,-0.039599999999999996,-0.0663,-0.21289999999999998,0.0049,8.16,18.76,17.72,2.11,3.14,61.50,2494685
Corning Incorporated Common Sto,GLW,6631930,16.84,2.31,2560000000.0,1.68,0.41,1.82,3.23,27.37,24920000000.0,0.007838745800671898,1.79,8.31,-0.000746547219111604,-0.019,0.06570000000000001,-0.053200000000000004,0.47450000000000003,1.59,15.98,14.75,2.65,3.31,25.19,4397595
General Motors Company Common S,GM,15298100,29.22,4.30,19680000000.0,6.01,1.78,6.15,6.00,36.07,50810000000.0,0.17603768030615252,-1.19,5.65,0.0035325287017957674,-0.059500000000000004,-0.028300000000000002,-0.1201,0.2407,1.16,5.64,5.52,0.31,3.08,34.91,10424332
Alphabet Inc.,GOOG,1486050,201.12,0,29860000000.0,33.24,8.05,39.48,27.88,832.35,569280000000.0,0.15405041649994544,1.31,29.54,-2.4250360724065168e-05,-0.0108,0.0288,-0.0353,0.2413,4.10,24.77,20.85,6.32,2.03,800.31,1079732
Alphabet Inc.,GOOGL,1568950,201.12,0,29860000000.0,33.29,8.06,39.27,27.88,851.95,580520000000.0,0.1637400498990138,1.34,30.12,0.0,-0.014499999999999999,0.0229,-0.0398,0.2482,4.18,25.22,21.39,6.45,2.50,820.82,3758459286
Genuine Parts Company Common St,GPC,689600,21.52,2.92,1220000000.0,4.76,1.31,5.18,4.59,93.45,13440000000.0,0.08653524891413289,2.50,19.74,-0.0012250807439581068,-0.0304,-0.0524,-0.1449,0.0462,4.17,19.04,17.49,0.87,2.58,95.62,693828
"Gap, Inc. (The) Common Stock",GPS,5513550,7.28,3.83,2029999999.9999998,1.99,0.56,2.04,1.69,24.06,9800000000.0,0.0337448559670781,1.80,14.50,0.0012345679012344402,0.0182,-0.0067,-0.203,0.4412,3.34,12.31,12.01,0.63,5.72,24.67,4455302
Garmin Ltd.,GRMN,1311670,18.13,4.05,710250000.0,2.65,0.81,2.72,2.70,51.48,9430000000.0,-0.0027700831024930483,18.71,18.51,0.000791452314998109,-0.028999999999999998,-0.0004,-0.1103,0.27399999999999997,2.79,18.86,18.38,3.16,9.99,50.01,1199843
"Goldman Sachs Group, Inc. (The)",GS,3853120,182.46,1.14,0.00,19.29,3.97,21.75,16.29,240.34,94470000000.0,0.10533444012407722,1.03,13.98,-0.0048494910218881415,-0.0524,0.0342,-0.1074,0.6479,1.25,11.82,10.51,3.10,1.42,220.22,3374674
The Goodyear Tire & Rubber Comp,GT,2944230,17.91,0.97,2510000000.0,3.95,0.90,5.02,4.74,35.75,8970000000.0,0.06842703009653617,1.37,7.52,-0.0028392958546280544,-0.0032,0.0953,-0.04190000000000001,0.46630000000000005,1.97,9.02,7.10,0.58,6.07,32.54,2346947
"W.W. Grainger, Inc. Common Stoc",GWW,660964,30.58,2.13,1460000000.0,11.87,3.04,13.16,9.87,242.47,13500000000.0,0.04943976980424636,2.60,23.25,-0.0050137332693901415,-0.0535,-0.0183,-0.1264,0.1365,7.50,19.33,17.44,1.33,12.81,233.78,904264
"Hasbro, Inc.",HAS,1540340,14.96,2.38,975380000.0,4.75,0.47,5.07,4.34,98.20,11970000000.0,0.048653163499686736,3.83,22.19,-0.003654207558989264,-0.0194,0.0977,-0.047400000000000005,0.2646,6.40,20.27,18.99,2.37,4.87,87.72,849003
Huntington Bancshares Incorpora,HBAN,10685300,8.51,2.44,0.00,0.96,0.23,1.11,0.70,13.70,14120000000.0,0.1576923076923078,1.35,18.57,-0.006923076923076921,-0.0508,0.0341,-0.11800000000000001,0.6149,1.53,13.54,11.71,4.24,2.82,12.57,8248465
Hanesbrands Inc. Common Stock,HBI,6441310,3.23,2.89,1010000000.0,1.96,0.56,2.13,1.41,20.50,7900000000.0,0.2607022607022609,1.04,14.83,0.0004810004810005264,0.0172,-0.0759,-0.3146,0.1026,6.43,10.64,9.79,1.31,6.27,22.56,3071404
Welltower Inc. Common Stock,HCN,1925810,38.06,4.82,2109999999.9999998,1.77,0.45,1.93,2.81,69.23,26390000000.0,-0.030456852791878153,14.08,25.90,-0.00013719303059411825,0.051500000000000004,0.0795,-0.09230000000000001,0.2256,1.92,41.12,38.11,6.32,7.86,67.43,1274803
"HCP, Inc. Common Stock",HCP,4237920,11.85,4.66,1280000000.0,0.77,0.20,0.83,1.34,31.09,14890000000.0,-0.00846129739893453,16.31,23.76,-0.005954246317768752,0.0232,0.0323,-0.2132,0.1521,2.69,41.31,38.33,7.02,3.95,30.81,3862813
"Home Depot, Inc. (The) Common S",HD,3957650,3.60,2.42,15400000000.0,7.19,2.22,8.10,6.45,146.93,178270000000.0,0.05444976722218464,1.77,22.98,-0.002024154915322929,0.0087,0.09390000000000001,-0.013000000000000001,0.2433,41.15,20.61,18.30,1.88,2.44,135.48,2844794
